Ragione_Sociale,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,classificazione_servizi_finanziari,classificazione_servizi_non_finanziari,classificazione_software_informatica,classificazione_software_rd,Macro_Area_Nord,Macro_Area_Sud_Isole,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Antonucci SPA,0.08163265306122448,0.049607150245334256,0.6033557475765088,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Pulci, Dovara e Scalfaro e figli",0.22448979591836735,0.10914656385920511,0.5234477588230895,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Pacillo SPA,0.061224489795918366,0.05680477429998696,0.617260770922708,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Blasi-Polizzi Group,0.02040816326530612,0.023083071449351178,0.5842447613478768,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Malipiero, Vanvitelli e Barbarigo e figli",0.04081632653061225,0.043789009550599764,0.6020945308673709,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Rismondo s.r.l.,0.08163265306122448,0.046409822236569184,0.6205313281277702,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cocci-Filangieri SPA,0.08163265306122448,0.07557792469734496,0.5671159117553564,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Niscoromni Group,0.08163265306122448,0.041576373328558326,0.5978978931827867,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Renzi-Casarin Group,0.24489795918367344,0.13036841211300434,0.6489589331852889,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Campise-Capecchi e figli,0.02040816326530612,0.016173234780284988,0.588538732093974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Zamengo, Mancini e Tomasini s.r.l.",0.08163265306122448,0.09283473153290589,0.5588527179148505,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Ioppi, Beccheria e Baresi e figli",0.346938775510204,0.290495001246468,0.5155312944820848,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
"Aulenti, Canil e Leonardi Group",0.061224489795918366,0.06373227651668363,0.580740115861627,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Onisto-Carriera e figli,0.14285714285714285,0.10837934595985502,0.5279256441945327,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ferrari, Spanevello e Trentini s.r.l.",0.04081632653061225,0.034268937195599834,0.5848299845711219,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Gori Group,0.04081632653061225,0.05249521876317719,0.6099224780725271,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Tognazzi, Maglio e Gelli s.r.l.",0.08163265306122448,0.030621767050701392,0.6098582059923948,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
"Mastroianni, Fattori e Rossetti SPA",0.0,0.0036659123565001535,0.591017484087544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lattuada, Poerio e Luna SPA",0.04081632653061225,0.02652606848323676,0.5984358561893178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Segrè Group,0.08163265306122448,0.08834953753902568,0.5499615216852238,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cossiga-Bocelli e figli,0.04081632653061225,0.04414876366416192,0.5864654370727013,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Montanariello e figli,0.061224489795918366,0.06836120209202051,0.5614335209267215,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Brunello, Romano e Biagiotti s.r.l.",0.22448979591836735,0.1091732097631412,0.5672445264833506,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Amaldi-Gadda SPA,0.02040816326530612,0.01876587373943869,0.5834979581857469,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Maccanelli e figli,0.04081632653061225,0.021011387975761103,0.6047997851111817,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Cheda-Tanzini e figli,0.44897959183673464,0.37125750188944595,0.45107352040956095,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Morandini-Carullo s.r.l.,0.02040816326530612,0.008625153544287716,0.5915411924126684,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Trebbi Group,0.04081632653061225,0.018712967328328983,0.5998243670017935,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Disdero e figli,0.0,0.008429740562859066,0.5900466183024009,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Scotto, Gasperi e Cuomo Group",0.02040816326530612,0.015840651138474427,0.5935650547392618,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Vattimo e figli,0.0,0.0036447262400319006,0.5986444997633837,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Fantini-Iadanza s.r.l.,0.02040816326530612,0.026199192383955575,0.5839916449824214,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Berrè SPA,0.0,0.010078926718221803,0.5951847000693806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Mogherini, Galuppi e Bosio Group",0.6326530612244897,0.3526865639735396,0.5356408695325414,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Basso, Brichese e Pedroni s.r.l.",0.04081632653061225,0.03722775660639407,0.5893651154930366,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Grisoni, Ricciardi e Guarana s.r.l.",0.24489795918367344,0.11162379636958882,0.6200113699734259,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Donati e figli,0.02040816326530612,0.013854686328129074,0.5869487302508961,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Falcone-Tirabassi s.r.l.,0.02040816326530612,0.016110561925822484,0.5873241505730867,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Merisi-Pincherle e figli,0.04081632653061225,0.051576243241857486,0.5895512479613171,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pederiva SPA,0.02040816326530612,0.022833089650936767,0.5953826677540481,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Pizzamano, Errigo e Serao s.r.l.",0.08163265306122448,0.031886990976023516,0.5789524386859047,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Belletini, Boaga e Baroffio s.r.l.",0.04081632653061225,0.018542366557510376,0.60645683133806,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Asmundo, Camilleri e Giannini SPA",0.02040816326530612,0.015838484046361852,0.6012559342105119,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Rossellini e figli,0.08163265306122448,0.06455222495163677,0.6247145781059131,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Comencini, Samele e Porcellato Group",0.08163265306122448,0.08407051399017319,0.5649628852805871,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Morabito e figli,0.08163265306122448,0.039901764751045024,0.6082707546686916,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Piovani, Faranda e Ceci e figli",0.7346938775510203,0.7377749355888074,0.1341192427790247,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Celentano-Terragni e figli,0.02040816326530612,0.015464679773845389,0.5910075743620683,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Sagredo-Riccati e figli,0.36734693877551017,0.22304862248445764,0.5561606799987086,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Gremese-Mazzanti s.r.l.,0.26530612244897955,0.14619298211276055,0.6653245927807245,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
"Caccianemico, Chechi e Mantegazza SPA",0.061224489795918366,0.04094947655518781,0.5708236914922007,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Guicciardini-Giradello s.r.l.,0.02040816326530612,0.027729035537903454,0.5772728914343452,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bonaventura Group,0.061224489795918366,0.030262776083902935,0.575123967969005,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Soprano, Gaggini e Galiazzo SPA",0.02040816326530612,0.022455232595005818,0.6033113957583702,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bompiani-Gigli Group,0.18367346938775508,0.08648165095579943,0.621467247765038,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Gargallo-Antonioni Group,0.08163265306122448,0.05880160056988313,0.5690282115417906,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Tacchini-Olivetti e figli,0.08163265306122448,0.05589258451452012,0.6172307292320494,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Bosio, Ammaniti e Tasso s.r.l.",0.061224489795918366,0.06566092579343476,0.5910039552456433,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Armani SPA,0.0,0.010330616803079229,0.601232631738043,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Cendron e figli,0.08163265306122448,0.08169479223418062,0.6372989364712248,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Coardi SPA,0.02040816326530612,0.02438347353471104,0.5994628031573916,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Paolucci-Brugnaro Group,0.02040816326530612,0.021419015402237854,0.5814417455956221,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Gritti Group,0.7142857142857142,0.4058129020515994,0.794884197473408,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
"Filippini, Collodi e Scamarcio e figli",0.08163265306122448,0.07103455567391621,0.5649214267393678,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Costanzi Group,0.04081632653061225,0.048954714819043545,0.6170721333000219,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Zampa-Rizzoli s.r.l.,0.7346938775510203,0.5592593142819541,0.26334506211006126,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Marzorati Group,0.08163265306122448,0.06338260695173849,0.5802208936278926,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Impastato Group,0.02040816326530612,0.01937984595709758,0.6051241395998047,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Botta e figli,0.02040816326530612,0.02119570856545192,0.5903850006475848,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Visintini-Briccialdi e figli,0.061224489795918366,0.055562629829196165,0.5867593919914649,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Moretti e figli,0.04081632653061225,0.026915955423823686,0.5998370893553544,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Brichese-Pedrazzini s.r.l.,0.2040816326530612,0.15551153478286991,0.6395497294949898,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Polani-Broschi Group,0.061224489795918366,0.037165022577842294,0.57148522363405,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Pertile e figli,0.08163265306122448,0.08106587059845509,0.6092904533228113,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Conte e figli,0.0,0.0015053979878734787,0.5986388089800359,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pastine SPA,0.02040816326530612,0.031196600086041974,0.5837432364926497,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Sobrero s.r.l.,0.04081632653061225,0.031377678449001196,0.5738439046354756,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ughi s.r.l.,0.26530612244897955,0.211223385038683,0.680185400580112,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Padovano-Pacillo e figli,0.0,0.0010553295076097856,0.5899510141502663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Donà-Antonetti Group,0.0,0.004294174841413745,0.5895763851947592,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Zoppetti, Antonioni e Schicchi SPA",0.36734693877551017,0.28867343568364096,0.6623617512017242,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Turrini e figli,0.14285714285714285,0.09882277102578454,0.6334031794240226,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Scotto, Caffarelli e Interminei e figli",0.04081632653061225,0.04645457261222626,0.618356823860401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Baresi-Rubbia SPA,0.9387755102040816,0.6373379730454302,0.37110988900124553,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Montesano e figli,0.02040816326530612,0.011155627393919901,0.5990208173038524,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Giradello-Ortolani s.r.l.,0.08163265306122448,0.08879293651420614,0.5377580728033657,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
"Mascheroni, Borghese e Tuzzolino SPA",0.0,0.006453150681695145,0.5874562382414944,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Iannotti-Curatoli SPA,0.18367346938775508,0.13438547138870566,0.5149671256450614,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Battelli-Galilei e figli,0.5510204081632653,0.5479846619918836,0.6805418432235559,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Fusani Group,0.08163265306122448,0.08368539098178857,0.6178747303336116,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Boccaccio s.r.l.,0.04081632653061225,0.0284962075566866,0.5774747605063566,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Piccinni-Moresi s.r.l.,0.04081632653061225,0.0182181912942707,0.5960262504897841,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
"Greco, Nugnes e Carosone SPA",0.0,0.01105099217291904,0.5881526106796243,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
"Bompiani, Vergerio e Bianchi SPA",0.16326530612244897,0.0783516481368668,0.5868015562099815,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cignaroli-Magnani SPA,0.08163265306122448,0.03552137267755896,0.60188300409749,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Raimondi s.r.l.,0.24489795918367344,0.13434857270740705,0.6265587951548095,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Sabbatini-Fornaciari SPA,0.061224489795918366,0.026393641873478143,0.5996887963118682,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Dallara, Ruggieri e Sorrentino Group",0.02040816326530612,0.02125409923366515,0.580788434594287,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Cendron-Baracca Group,0.36734693877551017,0.16643218791182687,0.6433144473086261,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Prada, Travia e Bragadin Group",0.061224489795918366,0.07067337620407393,0.5654400441068472,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nonis e figli,0.061224489795918366,0.03424984017428033,0.6009846668168582,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Sinisi, Casellati e Beccheria SPA",0.14285714285714285,0.11227714940721865,0.6310270278689354,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Marino-Tanzini e figli,0.0,0.0033094448208843023,0.5945424782827181,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bondumier Group,0.08163265306122448,0.07836958132113786,0.5595009883640617,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Vanvitelli Group,0.061224489795918366,0.04748620174829858,0.6166572454547009,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bonolis-Cardano s.r.l.,0.02040816326530612,0.01831195282090289,0.5835333731049697,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tasso-Cammarata SPA,0.32653061224489793,0.31893315612178463,0.6314310684460857,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
Comisso-Gradenigo Group,0.08163265306122448,0.0414385878685792,0.5821365504220416,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Boccherini-Galilei e figli,0.08163265306122448,0.08020948993463406,0.5573045980193704,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Gagliano, Zamengo e Aloisio e figli",0.02040816326530612,0.0240049359170369,0.5751699831693443,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Polani e figli,0.061224489795918366,0.0349239419336401,0.5671691047019202,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comisso SPA,0.14285714285714285,0.13940803999371096,0.6626934900992087,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Luria-Vendetti s.r.l.,0.061224489795918366,0.027049680453627167,0.6034171566230346,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Faranda s.r.l.,0.04081632653061225,0.044349602787309296,0.6116396732079002,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Magrassi Group,0.08163265306122448,0.0582951601663523,0.572411838412097,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Santi SPA,0.04081632653061225,0.0480934310519671,0.5792164426439479,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Buscetta s.r.l.,0.28571428571428564,0.23347747111074285,0.7130588129353571,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Martinelli SPA,0.08163265306122448,0.06808217177731374,0.5833940623253684,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Saraceno-Castiglione Group,0.0,0.010303115991245535,0.5874321343212378,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Esposito Group,0.061224489795918366,0.04592224639281859,0.6069488245092208,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Falcone s.r.l.,0.18367346938775508,0.17844601284001926,0.6029475132599914,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Bonolis Group,0.0,0.0042196403310407705,0.5910014551317898,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Guglielmi, Comboni e Malpighi e figli",0.02040816326530612,0.01670290910292257,0.5902285066257931,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Sanguineti-Nordio s.r.l.,0.08163265306122448,0.06983499907472662,0.5786745480067602,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
"Coardi, Cattaneo e Verdone s.r.l.",0.08163265306122448,0.04183003627779488,0.6084853813781287,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Moschino, Tron e Lucchesi s.r.l.",0.2040816326530612,0.14616609915922854,0.5328442855247969,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Rosiello SPA,0.061224489795918366,0.03446715195031729,0.5923063331034253,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Navone e figli,0.4897959183673469,0.2575897232032431,0.5264600885428425,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Toscani e figli,0.02040816326530612,0.01828744801009145,0.5983414869724535,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Lattuada-Gatto Group,0.08163265306122448,0.03464579558452337,0.573607175104975,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Russo Group,0.0,0.0050138329450568,0.5988723276788335,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Curatoli-Crisafulli s.r.l.,0.08163265306122448,0.07859443739173469,0.6053822965173842,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Pace-Mascagni e figli,0.18367346938775508,0.11322063432740649,0.648021582031218,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
"Turati, Semitecolo e Chindamo s.r.l.",0.08163265306122448,0.05714882043677547,0.6242015910351562,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Barese Group,0.693877551020408,0.4391643793139414,0.7011886100760687,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Redi s.r.l.,0.0,0.0038752715009313316,0.5993972658986763,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Peano SPA,0.08163265306122448,0.03765813467667229,0.6028758466898932,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Cammarata s.r.l.,0.061224489795918366,0.05209997603107422,0.6103768737653954,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Zamorani, Alonzi e Gualtieri SPA",0.12244897959183673,0.1046850901184414,0.5793406821726986,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Mengolo, Pace e Tozzi Group",0.08163265306122448,0.08235364176373185,0.5775545927708955,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Sorrentino-Carpaccio e figli,0.08163265306122448,0.05986955793887156,0.6149603738254914,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Stucchi-Malipiero Group,0.22448979591836735,0.13123731970095673,0.5156375039558883,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Notarbartolo-Faggiani Group,0.0,0.0013090016329597278,0.595665982067278,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Battaglia SPA,0.0,0.0014603723288146566,0.5911306091988614,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Juvara e figli,0.7959183673469387,0.5803675790748437,0.3524671851865834,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Casadei-Morabito e figli,0.04081632653061225,0.036133353678611944,0.5746004814281738,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Desio, Littizzetto e Sanguineti Group",0.061224489795918366,0.06111010729528452,0.5878990457050298,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Volterra-Borgia e figli,0.0,0.008953854160781528,0.58713589099181,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Toscani-Tosi e figli,0.02040816326530612,0.026482537001308485,0.6081166498686066,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Ferraris, Iannotti e Ruffini e figli",0.12244897959183673,0.07660313055404339,0.6275072254424489,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Bruno-Ubaldi s.r.l.,0.26530612244897955,0.13095957863018143,0.5752051964664822,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Bajamonti-Nolcini Group,0.08163265306122448,0.03640352139713496,0.6027366115185738,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Ferrabosco, Dulbecco e Spadafora e figli",0.02040816326530612,0.021092420703767344,0.580458752242069,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Pacomio-Chigi s.r.l.,0.836734693877551,0.5567424455497767,0.763356521805315,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Gullotta-Maglio Group,0.0,0.007395146012809126,0.5925529169133281,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Bellini-Eco Group,0.04081632653061225,0.030372814506339035,0.6054518662177987,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Stoppani e figli,0.061224489795918366,0.030329986526437428,0.5847393957683505,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Monicelli-Brenna e figli,0.061224489795918366,0.048986032894048015,0.5827165516332863,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Malenchini e figli,0.08163265306122448,0.0927950907230555,0.5592859584104547,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Lucchesi, Pellegrini e Migliaccio SPA",0.02040816326530612,0.02486276181871706,0.5966327801268569,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Bova, Tamburini e Navone s.r.l.",0.08163265306122448,0.08619547091940863,0.5446650052838847,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Grossi e figli,0.061224489795918366,0.06889896362926028,0.6067324840120616,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
"Bajardi, Cutrufo e Morpurgo s.r.l.",0.02040816326530612,0.02254841143843766,0.6031126921530927,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
"Bragadin, Bertoli e Peruzzi SPA",0.0,0.00804092875689115,0.5909821145332903,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Galilei e figli,0.04081632653061225,0.01761097422542003,0.5945921226805867,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Zamorani-Ramazzotti e figli,0.04081632653061225,0.03601274743225354,0.5737113028307513,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Mocenigo-Chiesa e figli,0.0,0.0061280256907194726,0.5894223812057167,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
Vigliotti e figli,0.24489795918367344,0.12265518377624737,0.5698523216518453,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
"Balbi, Morandini e Gregorio SPA",0.0,0.00750086860324686,0.5844284390672729,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
"Dovara, Iadanza e Sabbatini s.r.l.",0.04081632653061225,0.038699666368446045,0.5945230167109675,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
"Mascagni, Modugno e Pavanello SPA",0.510204081632653,0.42626902964188357,0.5758185409300266,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
