Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
Piccinni-Moresi s.r.l.,1718,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,731102,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,,NO,Attive,servizi_non_finanziari,CN,Nord,3.0,169138.77,3645.32,0,0,1,0
"Greco, Nugnes e Carosone SPA",1719,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,631119,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,Maggioritaria,NO,Attive,software_informatica,CN,Nord,1.0,122274.49,-11975.27,0,1,1,0
"Bompiani, Vergerio e Bianchi SPA",1722,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,261109,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,LOMBARDIA,C ATTIVITA' MANIFATTURIERE,Non Disponibile,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,industria,MI,Nord,9.0,562334.37,-14655.64,0,0,0,0
Cignaroli-Magnani SPA,1723,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,MI,Nord,5.0,282279.36,15264.59,0,0,0,0
Raimondi s.r.l.,1724,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,1 euro,SI,NO,Esclusiva,NO,Attive,software_informatica,CN,Nord,13.0,928482.36,64219.13,1,1,1,1
Sabbatini-Fornaciari SPA,1725,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,265129,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,PIEMONTE,C ATTIVITA' MANIFATTURIERE,05-set,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,CN,Nord,4.0,222595.72,10911.48,0,0,0,0
"Dallara, Ruggieri e Sorrentino Group",1726,VI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,500.001 - 1.000.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_informatica,VI,Nord,2.0,188989.71,-26585.13,0,1,1,0
Cendron-Baracca Group,1727,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,721901,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 1 fino a 5mila euro,SI,Forte,NO,NO,Attive,software_rd,CN,Nord,19.0,1138268.01,97460.83,1,1,0,0
"Prada, Travia e Bragadin Group",1728,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,749093,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,CN,Nord,4.0,512128.33,-57034.95,0,0,0,0
Nonis e figli,1729,AO,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,28309,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,VALLE D'AOSTA,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,industria,AO,Nord,4.0,273965.17,13482.37,0,1,0,0
"Sinisi, Casellati e Beccheria SPA",1730,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,SI,Da 1 fino a 5mila euro,,NO,Esclusiva,NO,Attive,software_rd,CN,Nord,8.0,784163.59,73083.7,1,1,1,0
Marino-Tanzini e figli,1732,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,16231,INDUSTRIA/ARTIGIANATO,C 16 INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLU,PIEMONTE,C ATTIVITA' MANIFATTURIERE,05-set,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,industria,CN,Nord,1.0,71654.71,701.65,0,0,0,0
Bondumier Group,1733,CN,SOCIETA' PER AZIONI,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 250 a 500mila euro,SI,NO,NO,NO,Attive,software_rd,CN,Nord,5.0,562451.63,-68817.5,0,0,1,0
Vanvitelli Group,1734,CN,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,CN,Nord,4.0,360513.98,44575.35,0,0,1,0
Bonolis-Cardano s.r.l.,1735,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,Forte,NO,Attive,software_informatica,CN,Nord,2.0,169751.85,-21139.42,0,0,0,0
Tasso-Cammarata SPA,1736,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 100 a 250mila euro,SI,NO,Forte,NO,Attive,software_informatica,CN,Nord,17.0,2135428.54,73885.28,1,1,1,1
Comisso-Gradenigo Group,1737,CN,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,Esclusiva,NO,NO,Attive,software_informatica,CN,Nord,5.0,320970.35,-23910.59,1,1,0,0
Boccherini-Galilei e figli,1738,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,software_informatica,CN,Nord,5.0,574482.27,-73174.94,0,0,0,1
"Gagliano, Zamengo e Aloisio e figli",1739,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 250 a 500mila euro,,NO,NO,NO,Attive,software_informatica,CN,Nord,2.0,206976.65,-37731.63,0,0,1,0
Polani e figli,1740,FI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2020,2017.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",TOSCANA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,500.001 - 1.000.000 euro,NO,"Da 1 a 2,5mln euro",,NO,NO,NO,Attive,software_informatica,FI,Centro,4.0,278372.93,-53604.65,0,0,0,0
Comisso SPA,1741,CN,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,CN,Nord,8.0,961564.78,135907.1,0,0,1,1
Luria-Vendetti s.r.l.,1742,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,63112,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,4.0,226885.37,18308.21,0,0,1,0
Faranda s.r.l.,1743,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,05-set,500.001 - 1.000.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,3.0,340004.65,34620.94,0,0,0,0
Magrassi Group,1744,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,46463,COMMERCIO,G 46 COMMERCIO ALL'INGROSSO (ESCLUSO QUELLO DI AUTOVEICOLI E DI M,LOMBARDIA,G COMMERCIO ALL'INGROSSO E AL DETTAGLIO; RIPARAZIONE DI AUTOVE...,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_rd,MI,Nord,5.0,431190.69,-43203.54,0,0,1,0
Santi SPA,1745,AT,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,AT,Nord,3.0,364484.48,-29703.82,0,0,0,0
Buscetta s.r.l.,1746,AT,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,2893,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,PIEMONTE,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,NO,Da 500 a 1mln euro,,NO,NO,NO,Attive,industria,AT,Nord,15.0,1576658.08,235827.35,1,0,1,0
Martinelli SPA,1747,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,Forte,NO,Attive,software_informatica,RM,Centro,5.0,495185.18,-21415.8,1,1,1,0
Saraceno-Castiglione Group,1748,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,SI,NO,Maggioritaria,NO,Attive,software_informatica,RM,Centro,1.0,117384.34,-13404.63,0,0,1,0
Esposito Group,1750,BI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,BI,Nord,4.0,350287.72,25314.72,0,0,1,0
Falcone s.r.l.,1751,BI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,432201,INDUSTRIA/ARTIGIANATO,F 43 LAVORI DI COSTRUZIONE SPECIALIZZATI,PIEMONTE,F COSTRUZIONI,Non Disponibile,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,BI,Nord,10.0,1216823.0,17376.48,1,1,0,1
Bonolis Group,1752,BI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,Forte,Attive,software_informatica,BI,Nord,1.0,77606.22,-6323.42,1,1,1,0
"Guglielmi, Comboni e Malpighi e figli",1753,BI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,2.000.001 - 5.000.000 euro,SI,Da 1 fino a 5mila euro,SI,,NO,,Attive,software_rd,BI,Nord,2.0,159230.77,-7856.88,0,0,0,0
Sanguineti-Nordio s.r.l.,1755,BI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,PIEMONTE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,BI,Nord,5.0,506646.42,-30778.89,0,0,1,0
"Coardi, Cattaneo e Verdone s.r.l.",1756,MB,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,222909,INDUSTRIA/ARTIGIANATO,C 22 FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE,LOMBARDIA,C ATTIVITA' MANIFATTURIERE,0-4,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,industria,MB,Nord,5.0,323529.92,28363.11,0,0,0,0
"Moschino, Tron e Lucchesi s.r.l.",1757,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 100 a 250mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,11.0,1005753.81,-121701.99,1,1,1,0
Rosiello SPA,1758,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 100 a 250mila euro,SI,,NO,NO,Attive,software_informatica,MI,Nord,4.0,275386.11,-3734.66,1,1,0,0
Navone e figli,1759,BI,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",PIEMONTE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,BI,Nord,25.0,1734321.25,-134367.66,0,0,0,0
Toscani e figli,1760,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,MI,Nord,2.0,169591.62,8238.54,1,0,1,0
Lattuada-Gatto Group,1761,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,266002,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,LOMBARDIA,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,MI,Nord,5.0,276554.21,-40832.1,1,1,0,1
Russo Group,1764,RM,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2018,2019,2018.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,1.0,82799.22,9291.68,0,1,1,0
Curatoli-Crisafulli s.r.l.,1765,CE,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CAMPANIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,CE,Sud_Isole,5.0,563921.9,22206.87,0,1,1,0
Pace-Mascagni e figli,1766,CE,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",CAMPANIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_informatica,CE,Sud_Isole,10.0,790332.77,106799.36,0,0,1,1
"Turati, Semitecolo e Chindamo s.r.l.",1767,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,1.000.001 - 2.000.000 euro,NO,Da 50 a 100mila euro,SI,NO,NO,Maggioritaria,Attive,software_informatica,MI,Nord,5.0,423695.1,59542.65,0,0,0,0
Barese Group,1768,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,35.0,2921586.37,212277.94,1,1,1,0
Redi s.r.l.,1770,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 100 a 250mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,1.0,75354.49,10333.11,0,0,0,0
Peano SPA,1771,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,5.0,296251.04,17234.3,1,1,1,0
Cammarata s.r.l.,1772,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,4.0,390682.14,32115.66,1,0,0,0
"Zamorani, Alonzi e Gualtieri SPA",1774,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,PD,Nord,7.0,734521.27,-29457.34,0,0,0,0
"Mengolo, Pace e Tozzi Group",1775,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",TRENTINO-ALTO ADIGE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,TN,Nord,5.0,588502.27,-33000.78,0,0,0,0
Sorrentino-Carpaccio e figli,1776,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2018,2018.0,2052,INDUSTRIA/ARTIGIANATO,C 20 FABBRICAZIONE DI PRODOTTI CHIMICI,VENETO,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,VR,Nord,5.0,441485.23,41208.91,0,0,0,0
Stucchi-Malipiero Group,1777,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,12.0,908138.76,-155838.69,1,0,1,0
Notarbartolo-Faggiani Group,1778,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,731102,SERVIZI,M 73 PUBBLICITA' E RICERCHE DI MERCATO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,VR,Nord,1.0,58574.38,2930.58,0,0,0,0
Battaglia SPA,1779,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,722,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,PD,Nord,1.0,59564.15,-6067.19,1,1,0,0
Juvara e figli,1780,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,40.0,3844874.0,-479553.86,0,0,0,1
Casadei-Morabito e figli,1781,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_rd,VR,Nord,3.0,286280.93,-38861.47,1,1,0,0
"Desio, Littizzetto e Sanguineti Group",1782,VR,SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,4.0,449596.83,-12478.32,0,0,0,0
Volterra-Borgia e figli,1783,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,1.0,108561.9,-13992.35,0,0,0,0
Toscani-Tosi e figli,1784,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,2.0,223176.98,27631.58,0,0,0,0
